Date,Open,High,Low,Close,Adj Close,Volume
1999-01-01,23.625000,28.000000,22.468750,27.890625,19.355703,1420421200
1999-02-01,28.265625,29.375000,22.906250,24.453125,16.970125,1487170800
1999-03-01,24.437500,28.125000,23.500000,27.390625,19.008713,1134463200
1999-04-01,27.625000,30.000000,24.812500,28.515625,19.789444,1125257600
1999-05-01,28.437500,30.578125,25.937500,27.250000,18.911112,1153496000
1999-06-01,27.265625,32.718750,26.375000,32.218750,22.359352,1066650600
1999-07-01,32.531250,34.625000,30.500000,31.062500,21.556944,728575600
1999-08-01,30.843750,35.156250,28.078125,33.906250,23.530455,893489400
1999-09-01,34.093750,36.781250,32.937500,34.281250,23.790707,754829800
1999-10-01,33.968750,37.250000,32.531250,37.000000,25.677481,828612600
1999-11-01,36.500000,47.750000,34.937500,44.593750,30.947439,913060600
1999-12-01,45.187500,53.593750,44.593750,53.562500,37.171627,843159600
